Product Name,Price (Ksh),Discount (%),Rating (out of 5),Total Reviews
N/A,KSh 762,0%,0,0
N/A,KSh 623,0%,0,0
N/A,KSh 830,0%,0,0
N/A,KSh 418,0%,0,0
N/A,KSh 862,0%,0,0
N/A,KSh 766,0%,0,0
N/A,KSh 496,0%,0,0
N/A,"KSh 1,390",0%,0,0
N/A,"KSh 2,339",0%,0,0
N/A,KSh 789 - KSh 900,0%,0,0
N/A,KSh 354,0%,0,0
N/A,KSh 521,0%,0,0
N/A,"KSh 1,022",0%,0,0
N/A,KSh 854,0%,0,0
N/A,KSh 699,0%,0,0
N/A,"KSh 3,220",0%,0,0
N/A,"KSh 2,349",0%,0,0
N/A,KSh 693,0%,0,0
N/A,KSh 900,0%,0,0
N/A,"KSh 1,352",0%,0,0
N/A,KSh 875,0%,0,0
N/A,"KSh 2,500",0%,0,0
N/A,KSh 456,0%,0,0
N/A,"KSh 1,279",0%,0,0
N/A,KSh 830,0%,0,0
N/A,KSh 874,0%,0,0
N/A,"KSh 2,600",0%,0,0
N/A,"KSh 28,999",0%,0,0
N/A,"KSh 11,445",0%,0,0
N/A,"KSh 1,899",0%,0,0
N/A,"KSh 5,570",0%,0,0
N/A,"KSh 1,299",0%,0,0
N/A,KSh 585,0%,0,0
N/A,KSh 750,0%,0,0
N/A,KSh 580,0%,0,0
N/A,KSh 460,0%,0,0
N/A,KSh 299,0%,0,0
N/A,KSh 915,0%,0,0
N/A,"KSh 13,650",0%,0,0
N/A,"KSh 1,740",0%,0,0
N/A,"KSh 7,584",0%,0,0
